Абсолютный путь,Относительный путь,Класс
C:\Users\TUFman\Desktop\python\data_new_2\dataset\04280.jpg,data_new_2\dataset\04280.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\06921.jpg,data_new_2\dataset\06921.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\04635.jpg,data_new_2\dataset\04635.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\00173.jpg,data_new_2\dataset\00173.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08421.jpg,data_new_2\dataset\08421.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\03961.jpg,data_new_2\dataset\03961.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\07066.jpg,data_new_2\dataset\07066.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\06223.jpg,data_new_2\dataset\06223.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\02253.jpg,data_new_2\dataset\02253.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\06128.jpg,data_new_2\dataset\06128.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09541.jpg,data_new_2\dataset\09541.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\05289.jpg,data_new_2\dataset\05289.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\07742.jpg,data_new_2\dataset\07742.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\01922.jpg,data_new_2\dataset\01922.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\05502.jpg,data_new_2\dataset\05502.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08488.jpg,data_new_2\dataset\08488.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\01148.jpg,data_new_2\dataset\01148.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08062.jpg,data_new_2\dataset\08062.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\05631.jpg,data_new_2\dataset\05631.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\06306.jpg,data_new_2\dataset\06306.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08033.jpg,data_new_2\dataset\08033.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09059.jpg,data_new_2\dataset\09059.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08178.jpg,data_new_2\dataset\08178.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09050.jpg,data_new_2\dataset\09050.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09862.jpg,data_new_2\dataset\09862.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\04288.jpg,data_new_2\dataset\04288.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08302.jpg,data_new_2\dataset\08302.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\03337.jpg,data_new_2\dataset\03337.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\06069.jpg,data_new_2\dataset\06069.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\01893.jpg,data_new_2\dataset\01893.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\03445.jpg,data_new_2\dataset\03445.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\05519.jpg,data_new_2\dataset\05519.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\05441.jpg,data_new_2\dataset\05441.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09824.jpg,data_new_2\dataset\09824.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\09447.jpg,data_new_2\dataset\09447.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\08281.jpg,data_new_2\dataset\08281.jpg,tiger
C:\Users\TUFman\Desktop\python\data_new_2\dataset\00601.jpg,data_new_2\dataset\00601.jpg,tiger
